3,21
4,5
3,2
3,4
16,30
2,2
57,28
6,8
48,56
4,24
16,1
7,1
2,1
20,3
8,4
7,0
4,0
52,21
1,1
33,16
24,10
1,0
44,40
70,24
40,34
28,1
11,1
11,2
73,38
245,15
275,42
260,4
3,0
463,37
3,211
21,7
25,10
5,2
2,0
4,3
14,6
5,17
9,10
17,14
71,48
64,96
19,1
47,27
51,18
12,3
17,0
15,22
10,10
12,13
21,19
17,5
1,9
29,15
127,51
18,11
48,69
46,67
17,2
20,24
7,6
11,3
59,16
38,27
40,9
1,39
244,206
34,9
6,2
90,84
1,48
6,5
22,8
75,49
114,130
14,21
1,2
37,49
3,1
5,9
1,4
36,13
10,2
12,4
1,75
6,9
32,31
3,3
22,18
80,69
29,25
8,5
94,88
13,6
1,3
6,7
4,7
20,12
6,0
16,10
27,16
61,39
88,28
99,44
8,8
26,8
1,131
38,12
17,16
23,6
19,8
19,17
34,98
13,5
13,2
46,41
18,20
19,12
14,9
20,20
1,11
40,27
37,33
9,6
9,1
8,17
13,9
23,8
22,17
31,23
1,14
167,45
16,11
34,36
8,6
41,40
8,7
25,11
27,5
8,1
35,21
40,4
16,12
48,28
59,29
33,24
12,15
19,15
27,17
43,31
101,54
10,5
15,8
4,1
65,52
1,5
13,1
87,28
97,44
1,130
4,10
47,28
23,21
13,0
15,5
13,24
12,11
8,14
10,3
16,9
15,7
18,17
13,22
8,3
75,33
5,5
10,31
114,54
1,10
1,19
12,7
4,2
1,12
3,16
6,6
93,38
5,0
143,99
52,44
78,48
28,7
69,24
8,20
21,14
46,32
10,9
24,7
49,28
8,16
28,12
24,14
131,38
7,5
39,39
27,23
148,75
38,19
6,3
7,2
54,54
62,59
6,10
17,17
56,45
37,31
11,6
13,10
37,15
7,8
35,40
116,50
11,4
1,7
51,41
18,9
16,15
17,22
10,16
5,8
14,14
23,20
4,6
10,19
20,14
48,40
18,8
36,29
1,6
7,35
14,7
7,24
31,17
97,71
92,72
5,4
81,49
5,16
234,117
21,20
53,43
26,38
18,18
72,68
31,28
316,136
52,27
103,40
39,5
11,22
9,4
132,55
5,3
61,33
9,11
3,5
13,11
1,8
74,28
35,11
53,14
39,28
17,9
2,12
15,15
13,7
101,68
69,20
12,8
14,0
49,6
77,20
6,1
22,7
73,33
16,38
82,38
74,56
179,94
35,24
78,28
14,3
60,45
18,10
11,8
87,38
89,39
5,7
31,16
181,94
33,14
33,22
5,1
28,13
32,12
10,4
13,3
31,19
137,72
30,12
36,20
27,11
28,19
15,9
11,16
11,23
2,13
2,3
131,62
9,3
8,2
2,7
2,4
39,18
35,6
11,11
2,6
54,23
7,13
7,7
9,12
3,7
17,10
15,10
19,13
2,19
9,9
4,9
7,11
9,2
14,11
18,12
6,11
5,6
3,9
3,24
2,8
2,5
25,13
23,25
2,9
3,23
10,12
24,25
30,6
9,34
10,18
43,53
9,17
22,26
28,33
64,46
11,15
1,16
2,10
2,20
3,6
30,32
30,7
20,6
28,11
15,24
15,18
26,6
21,9
14,17
80,29
90,29
7,10
32,50
24,4
31,4
87,29
28,0
9,7
22,20
26,5
22,13
10,8
50,25
26,31
51,17
79,43
61,24
19,3
16,7
26,11
40,18
108,69
21,15
99,16
7,4
15,4
10,7
74,57
25,4
55,22
22,14
34,26
25,20
21,2
66,16
43,16
23,16
10,11
43,21
58,18
32,16
30,16
50,30
17,18
129,44
124,61
51,31
20,17
38,30
5,10
12,1
20,15
84,23
13,15
34,18
53,20
11,10
11,12
29,14
134,43
41,21
84,54
39,21
51,11
25,1
75,3
79,26
12,9
42,6
48,15
17,3
14,12
17,8
32,3
8,9
51,30
46,25
61,30
19,10
40,25
55,24
17,15
8,10
6,4
20,23
29,21
27,8
12,22
16,6
42,10
26,13
34,28
23,17
11,0
4,4
14,2
56,15
11,5
32,9
33,15
40,6
1,24
106,56
1,20
11,7
23,15
59,15
25,8
9,23
30,26
7,3
9,0
30,1
16,2
25,12
1,36
73,51
8,13
28,21
64,43
1,18
41,15
28,26
1,51
13,16
30,13
58,21
32,1
20,7
42,35
13,21
7,9
42,23
31,11
68,40
5,18
22,28
49,31
4,11
52,41
67,25
22,19
12,0
14,1
24,3
14,4
1,21
19,60
10,1
4,8
16,8
99,60
52,33
97,53
12,21
5,11
58,16
53,23
12,2
25,25
17,13
13,4
17,11
1,80
36,15
29,17
26,7
17,1
21,3
23,7
20,4
19,6
195,67
34,34
19,11
57,21
12,6
18,13
20,8
15,6
19,18
89,14
133,20
87,17
14,8
272,124
32,23
1,23
9,8
31,13
15,13
20,11
74,41
89,44
12,10
21,10
24,6
1,85
19,5
43,15
161,69
43,22
32,8
62,31
50,31
28,27
106,42
7,20
62,25
25,9
41,17
30,8
21,5
38,13
18,14
24,2
13,13
21,25
1,181
15,12
15,17
20,10
12,16
23,19
26,17
32,15
32,22
22,10
51,10
23,14
99,73
2,14
49,24
68,16
18,5
1,96
36,32
39,14
10,22
28,32
16,4
24,9
31,44
1,27
18,27
1,59
49,25
39,22
23,11
11,31
16,33
3,17
4,28
3,18
4,16
4,17
8,11
3,14
3,36
3,8
8,23
14,15
13,26
24,23
31,32
1,15
14,5
17,4
15,19
68,48
9,5
11,9
1,17
30,14
23,12
26,10
21,8
28,24
2,11
19,7
56,23
8,12
28,17
22,4
50,8
31,27
31,43
17,12
5,13
40,21
1,113
21,12
3,10
79,38
26,22
29,20
31,5
1,74
65,47
29,18
59,19
38,15
47,21
18,0
35,15
1,145
109,54
29,10
178,80
44,17
29,4
38,26
28,18
12,20
39,12
19,4
56,20
28,8
65,26
62,19
37,16
48,26
36,7
26,9
41,37
43,14
44,12
135,44
64,18
30,28
45,29
175,89
16,3
125,73
33,10
104,45
26,14
6,16
10,6
31,15
32,33
15,14
66,15
25,16
78,47
25,21
155,89
39,19
11,28
34,19
31,12
57,36
42,26
71,54
18,4
40,50
33,20
27,12
24,18
97,31
15,3
1,13
40,15
104,43
75,50
16,22
1,87
32,25
6,12
13,12
10,13
164,46
13,8
112,47
65,40
98,53
1,167
100,44
66,27
83,12
27,4
53,9
26,4
44,20
80,35
154,104
26,21
30,21
21,17
141,44
71,39
10,0
28,14
126,86
28,16
31,18
75,18
25,3
84,49
56,29
40,23
689,267
19,9
162,75
126,61
45,21
17,19
30,36
7,14
15,20
211,79
134,101
50,20
10,15
1,215
118,72
14,16
27,21
55,18
643,302
25,22
59,39
47,19
16,5
35,7
62,23
405,167
27,14
56,43
49,37
9,13
74,39
29,5
29,12
38,22
22,6
95,39
39,20
16,13
57,23
23,9
56,52
56,38
18,23
43,42
1,67
30,9
37,38
27,32
30,33
42,22
1,61
77,10
50,14
2,23
22,3
70,51
48,17
52,25
40,20
109,27
41,26
1,77
35,31
272,135
164,49
66,21
67,18
56,17
54,21
49,83
12,26
47,18
30,5
48,13
210,42
90,60
1,26
2,15
46,8
25,7
70,33
24,21
8,31
147,51
37,18
75,35
39,13
36,23
40,14
31,14
24,12
12,17
84,52
1,68
27,19
32,6
10,21
34,16
39,2
36,2
62,54
27,7
65,35
35,13
49,26
29,16
151,93
29,19
39,15
14,23
19,19
5,12
23,27
12,12
17,7
22,16
55,35
35,18
1,250
128,63
25,0
71,23
28,15
598,262
74,30
6,61
1,29
59,22
74,44
94,42
54,11
116,35
11,14
122,61
25,5
1,157
30,23
64,56
18,6
79,27
75,48
11,19
34,14
44,21
12,14
70,22
113,44
35,32
42,18
8,15
18,1
9,15
54,30
39,17
100,36
55,14
32,19
6,18
1,104
28,9
27,20
1,415
25,17
